,Ref Des,Mid X (mm),Mid Y(mm),Rotation,Comment,Package
77,R_CHANGE,59.68,76.82,270.0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
78,R_CL1,59.05,27.49,0.0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
79,R_RESET,20.05,76.79,270.0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
80,SENSOR2,127.16,31.16,0.0,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
81,SJ1,54.87,-19.5,0.0,,SJ
82,TP1,10.26,36.13,0.0,TPTP20R,TP20R
83,TP10,15.17,5.53,0.0,TPTP20R,TP20R
84,TP11,10.03,5.65,0.0,TPTP20R,TP20R
85,TP12,84.19,71.45,0.0,TPTP20R,TP20R
86,TP13,79.48,71.44,0.0,TPTP20R,TP20R
87,TP14,98.46,32.64,0.0,TPTP20R,TP20R
88,TP15,32.45,35.47,2.4,TPTP20R,TP20R
89,TP16,135.77,-24.92,270.0,TPTP20R,TP20R
90,TP17,44.69,-2.73,0.0,TPTP20R,TP20R
91,TP2,13.28,36.11,0.0,TPTP20R,TP20R
92,TP3,101.7,-23.84,0.0,TPTP20R,TP20R
93,TP4,97.91,-23.94,0.0,TPTP20R,TP20R
94,TP5,12.82,73.96,0.0,TPTP20R,TP20R
95,TP6,5.03,75.96,0.0,TPTP20R,TP20R
96,TP7,38.04,-2.74,0.0,TPTP20R,TP20R
97,TP8,29.88,-2.95,0.0,TPTP20R,TP20R
98,TP9,15.51,40.25,0.0,TPTP20R,TP20R
99,U1,15.47,23.4,90.0,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
100,U2,36.25,24.4,180.0,W25Q512JVEIQ,SON127P600X800X80-9N
101,U3,73.95,23.32,90.0,DS3231SN#,SOIC127P1032X265-16N
102,U4,111.52,-24.63,0.0,MAX17048G+T10,SON50P200X200X80-9N
